ra,dec,brickname
40.38819875776397,-26.75,0403m267
40.391061452513966,-42.0,0403m420
40.39249146757679,-35.75,0403m357
40.39370078740158,-28.25,0403m282
40.39772727272727,-43.0,0403m430
40.39936102236422,-29.75,0403m297
40.40518638573744,-31.25,0404m312
40.41144901610018,-39.25,0404m392
40.416666666666664,-26.0,0404m260
40.425138632162664,-41.5,0404m415
40.432330827067666,-42.5,0404m425
40.44117647058823,-32.0,0404m320
40.44404973357016,-38.75,0404m387
40.44478527607362,-25.25,0404m252
40.44776119402985,-33.25,0404m332
40.451010886469675,-27.0,0404m270
40.457413249211356,-28.5,0404m285
40.45871559633027,-41.0,0404m410
40.464,-30.0,0404m300
40.46875,-37.0,0404m370
40.476190476190474,-38.25,0404m382
40.477759472817134,-32.75,0404m327
40.47913446676971,-26.25,0404m262
40.48494983277592,-34.0,0404m340
40.4858934169279,-27.75,0404m277
40.49180327868852,-40.5,0404m405
40.492359932088284,-35.25,0404m352
40.492845786963436,-29.25,0404m292
40.5,-30.75,0405m307
40.5,-36.5,0405m365
40.50691244239631,-25.5,0405m255
40.507880910683014,-37.75,0405m377
40.51495016611295,-33.5,0405m335
40.51724137931034,-43.75,0405m437
40.52276559865093,-34.75,0405m347
40.52441229656419,-40.0,0405m400
40.526315789473685,-44.75,0405m447
40.53082191780822,-36.0,0405m360
40.53658536585366,-31.5,0405m315
40.53913043478261,-37.25,0405m372
40.54179566563467,-26.5,0405m265
40.54205607476636,-42.25,0405m422
40.54945054945055,-28.0,0405m280
40.551330798479086,-43.25,0405m432
40.552763819095475,-34.25,0405m342
40.55655296229803,-39.5,0405m395
40.55732484076433,-29.5,0405m295
40.560928433268856,-44.25,0405m442
40.56122448979592,-35.5,0405m355
40.56923076923077,-25.75,0405m257
40.57377049180328,-32.25,0405m322
40.575139146567714,-41.75,0405m417
40.57722308892356,-27.25,0405m272
40.58490566037736,-42.75,0405m427
40.585443037974684,-28.75,0405m287
40.588235294117645,-39.0,0405m390
40.59390048154093,-30.25,0405m302
40.60260586319218,-31.75,0406m317
40.607734806629836,-41.25,0406m412
40.611570247933884,-33.0,0406m330
40.61946902654867,-38.5,0406m385
40.63106796116505,-31.0,0406m310
40.63985374771481,-40.75,0406m407
40.6401384083045,-36.75,0406m367
40.64039408866995,-32.5,0406m325
40.640625,-27.5,0406m275
40.64976228209192,-29.0,0406m290
40.65,-33.75,0406m337
40.650263620386646,-38.0,0406m380
40.659163987138264,-30.5,0406m305
40.65989847715736,-35.0,0406m350
40.66770186335404,-26.75,0406m267
40.670103092783506,-36.25,0406m362
40.671506352087114,-40.25,0406m402
40.67307692307692,-44.0,0406m440
40.67716535433071,-28.25,0406m282
40.68062827225131,-37.5,0406m375
40.68690095846645,-29.75,0406m297
40.6890756302521,-34.5,0406m345
40.69444444444444,-26.0,0406m260
40.6969205834684,-31.25,0406m312
40.69965870307167,-35.75,0406m357
40.7027027027027,-39.75,0407m397
40.70610687022901,-43.5,0407m435
40.71844660194175,-44.5,0407m445
40.72085889570552,-25.25,0407m252
40.726256983240226,-42.0,0407m420
40.73094867807154,-27.0,0407m270
40.73345259391771,-39.25,0407m392
40.73529411764706,-32.0,0407m320
40.73863636363637,-43.0,0407m430
40.74132492113565,-28.5,0407m285
40.74626865671642,-33.25,0407m332
40.752,-30.0,0407m300
40.75734157650695,-26.25,0407m262
40.75785582255083,-41.5,0407m415
40.763765541740675,-38.75,0407m387
40.76802507836991,-27.75,0407m277
40.77067669172932,-42.5,0407m425
40.774299835255356,-32.75,0407m327
40.77901430842607,-29.25,0407m292
40.78125,-37.0,0407m370
40.78341013824885,-25.5,0407m255
40.785953177257525,-34.0,0407m340
40.788990825688074,-41.0,0407m410
40.79032258064516,-30.75,0407m307
40.79365079365079,-38.25,0407m382
40.797962648556876,-35.25,0407m352
40.810344827586206,-36.5,0408m365
40.81395348837209,-33.5,0408m335
40.81967213114754,-40.5,0408m405
40.82043343653251,-26.5,0408m265
40.823117338003506,-37.75,0408m377
40.826306913996625,-34.75,0408m347
40.829268292682926,-31.5,0408m315
40.832025117739406,-28.0,0408m280
40.83904109589041,-36.0,0408m360
40.84394904458599,-29.5,0408m295
40.84615384615385,-25.75,0408m257
40.8499095840868,-40.0,0408m400
40.85217391304348,-37.25,0408m372
40.85427135678392,-34.25,0408m342
40.858034321372855,-27.25,0408m272
40.86206896551724,-43.75,0408m437
40.86734693877551,-35.5,0408m355
40.868852459016395,-32.25,0408m322
40.870253164556964,-28.75,0408m287
40.87719298245614,-44.75,0408m447
40.87850467289719,-42.25,0408m422
40.87971274685817,-39.5,0408m395
40.88282504012841,-30.25,0408m302
40.893536121673,-43.25,0408m432
40.8957654723127,-31.75,0408m317
40.90909090909091,-33.0,0409m330
40.90909090909091,-39.0,0409m390
40.90909090909091,-41.75,0409m417
40.90909090909091,-44.25,0409m442
40.921875,-27.5,0409m275
40.922330097087375,-31.0,0409m310
40.924528301886795,-42.75,0409m427
40.93502377179081,-29.0,0409m290
40.935960591133004,-32.5,0409m325
40.93805309734513,-38.5,0409m385
40.93922651933702,-41.25,0409m412
40.9472049689441,-26.75,0409m267
40.948553054662376,-30.5,0409m305
40.95,-33.75,0409m337
40.951557093425606,-36.75,0409m367
40.960629921259844,-28.25,0409m282
40.964467005076145,-35.0,0409m350
40.966608084358526,-38.0,0409m380
40.96892138939671,-40.75,0409m407
40.97222222222222,-26.0,0409m260
40.97444089456869,-29.75,0409m297
40.97938144329897,-36.25,0409m362
40.98865478119935,-31.25,0409m312
40.99159663865546,-34.5,0409m345
40.99476439790576,-37.5,0409m375
40.99693251533742,-25.25,0409m252
40.99818511796733,-40.25,0409m402
41.00682593856655,-35.75,0410m357
41.01088646967341,-27.0,0410m270
41.01923076923077,-44.0,0410m440
41.02523659305994,-28.5,0410m285
41.027027027027025,-39.75,0410m397
41.029411764705884,-32.0,0410m320
41.035548686244205,-26.25,0410m262
41.04,-30.0,0410m300
41.04477611940298,-33.25,0410m332
41.04961832061068,-43.5,0410m435
41.05015673981191,-27.75,0410m277
41.055456171735244,-39.25,0410m392
41.05990783410138,-25.5,0410m255
41.06145251396648,-42.0,0410m420
41.06518282988871,-29.25,0410m292
41.067961165048544,-44.5,0410m445
41.07084019769358,-32.75,0410m327
41.07954545454545,-43.0,0410m430
41.08064516129032,-30.75,0410m307
41.08348134991119,-38.75,0410m387
41.08695652173913,-34.0,0410m340
41.090573012939004,-41.5,0410m415
41.09375,-37.0,0410m370
41.09907120743034,-26.5,0410m265
41.10356536502547,-35.25,0411m352
41.109022556390975,-42.5,0411m425
41.111111111111114,-38.25,0411m382
41.11295681063123,-33.5,0411m335
41.11459968602826,-28.0,0411m280
41.11926605504587,-41.0,0411m410
41.12068965517241,-36.5,0411m365
41.1219512195122,-31.5,0411m315
41.12307692307692,-25.75,0411m257
41.12984822934233,-34.75,0411m347
41.13057324840764,-29.5,0411m295
41.13835376532399,-37.75,0411m377
41.13884555382215,-27.25,0411m272
41.147260273972606,-36.0,0411m360
41.14754098360656,-40.5,0411m405
41.15506329113924,-28.75,0411m287
41.15577889447236,-34.25,0411m342
41.16393442622951,-32.25,0411m322
41.165217391304346,-37.25,0411m372
41.17174959871589,-30.25,0411m302
41.173469387755105,-35.5,0411m355
41.175406871609404,-40.0,0411m400
41.188925081433226,-31.75,0411m317
41.202872531418315,-39.5,0412m395
41.203125,-27.5,0412m275
41.20661157024794,-33.0,0412m330
41.206896551724135,-43.75,0412m437
41.213592233009706,-31.0,0412m310
41.21495327102804,-42.25,0412m422
41.2202852614897,-29.0,0412m290
41.22670807453416,-26.75,0412m267
41.228070175438596,-44.75,0412m447
41.22994652406417,-39.0,0412m390
41.23152709359606,-32.5,0412m325
41.23574144486692,-43.25,0412m432
41.237942122186496,-30.5,0412m305
41.2430426716141,-41.75,0412m417
41.24409448818898,-28.25,0412m282
41.25,-26.0,0412m260
41.25,-33.75,0412m337
41.256637168141594,-38.5,0412m385
41.25725338491296,-44.25,0412m442
41.26198083067093,-29.75,0412m297
41.26297577854671,-36.75,0412m367
41.264150943396224,-42.75,0412m427
41.26903553299493,-35.0,0412m350
41.270718232044196,-41.25,0412m412
41.27300613496933,-25.25,0412m252
41.28038897893031,-31.25,0412m312
41.28295254833041,-38.0,0412m380
41.28865979381443,-36.25,0412m362
41.29082426127527,-27.0,0412m270
41.294117647058826,-34.5,0412m345
41.29798903107861,-40.75,0412m407
41.30890052356021,-37.5,0413m375
41.30914826498423,-28.5,0413m285
41.31375579598145,-26.25,0413m262
41.31399317406143,-35.75,0413m357
41.3235294117647,-32.0,0413m320
41.32486388384755,-40.25,0413m402
41.328,-30.0,0413m300
41.33228840125392,-27.75,0413m277
41.336405529953915,-25.5,0413m255
41.343283582089555,-33.25,0413m332
41.351351351351354,-29.25,0413m292
41.351351351351354,-39.75,0413m397
41.36538461538461,-44.0,0413m440
41.36738056013179,-32.75,0413m327
41.37096774193548,-30.75,0413m307
41.37745974955277,-39.25,0413m392
41.37770897832817,-26.5,0413m265
41.38795986622073,-34.0,0413m340
41.39312977099237,-43.5,0413m435
41.39664804469274,-42.0,0413m420
41.397174254317115,-28.0,0413m280
41.4,-25.75,0414m257
41.4031971580817,-38.75,0414m387
41.40625,-37.0,0414m370
41.40916808149406,-35.25,0414m352
41.411960132890364,-33.5,0414m335
41.41463414634146,-31.5,0414m315
41.4171974522293,-29.5,0414m295
41.41747572815534,-44.5,0414m445
41.41965678627145,-27.25,0414m272
41.42045454545455,-43.0,0414m430
41.42329020332717,-41.5,0414m415
41.42857142857143,-38.25,0414m382
41.43103448275862,-36.5,0414m365
41.433389544688026,-34.75,0414m347
41.43987341772152,-28.75,0414m287
41.44736842105263,-42.5,0414m425
41.44954128440367,-41.0,0414m410
41.453590192644484,-37.75,0414m377
41.455479452054796,-36.0,0414m360
41.45728643216081,-34.25,0414m342
41.459016393442624,-32.25,0414m322
41.46067415730337,-30.25,0414m302
41.47540983606557,-40.5,0414m405
41.47826086956522,-37.25,0414m372
41.47959183673469,-35.5,0414m355
41.48208469055375,-31.75,0414m317
41.484375,-27.5,0414m275
41.500904159132006,-40.0,0415m400
41.50413223140496,-33.0,0415m330
41.50485436893204,-31.0,0415m310
41.50554675118859,-29.0,0415m290
41.506211180124225,-26.75,0415m267
41.526032315978455,-39.5,0415m395
41.52709359605911,-32.5,0415m325
41.52733118971061,-30.5,0415m305
41.52755905511811,-28.25,0415m282
41.52777777777778,-26.0,0415m260
41.54907975460123,-25.25,0415m252
41.54952076677316,-29.75,0415m297
41.55,-33.75,0415m337
41.55080213903744,-39.0,0415m390
41.55140186915888,-42.25,0415m422
